date,ticker,open,high,low,close,volume
2019-01-02,ALPHA,99.9429,99.9919,99.573,99.8815,1161723
2019-01-02,BETA,79.9161,80.2749,77.916,78.0048,1247309
2019-01-02,GAMMA,60.1228,60.2643,59.1203,59.4118,1214151
2019-01-03,ALPHA,99.991,100.1086,98.1825,98.2763,1234765
2019-01-03,BETA,77.9211,78.1001,75.9097,76.3246,1249757
2019-01-03,GAMMA,59.0503,59.4831,57.639,58.606,1029782
2019-01-04,ALPHA,98.6537,98.9387,98.5188,98.5667,978503
2019-01-04,BETA,76.0802,76.6949,76.0765,76.3214,1611354
2019-01-04,GAMMA,58.6283,58.8518,57.3215,57.5104,1437028
2019-01-07,ALPHA,98.6468,99.2159,97.4881,97.506,1168103
2019-01-07,BETA,75.382,76.2621,73.5157,74.219,1409120
2019-01-07,GAMMA,57.1516,57.5545,56.5903,56.9375,1560452
2019-01-08,ALPHA,97.0383,98.2502,96.8289,98.1154,1462021
2019-01-08,BETA,74.0932,74.8024,73.5829,74.655,1397879
2019-01-08,GAMMA,56.7112,57.9707,56.5471,57.491,1251704
2019-01-09,ALPHA,98.2373,98.3446,97.5579,97.8949,866033
2019-01-09,BETA,74.0265,74.6849,73.7971,74.4705,1002453
2019-01-09,GAMMA,57.2896,57.4773,56.0725,56.3461,1209692
2019-01-10,ALPHA,97.4056,99.682,97.1455,98.546,925256
2019-01-10,BETA,74.8353,78.0552,74.6079,76.6371,1545444
2019-01-10,GAMMA,56.3215,58.4682,56.116,57.6029,551588
2019-01-11,ALPHA,98.762,100.0689,98.3938,99.535,899339
2019-01-11,BETA,76.9176,79.0838,76.5046,78.1769,1232369
2019-01-11,GAMMA,57.4673,57.6924,55.6496,55.8588,1115167
2019-01-14,ALPHA,99.4385,99.5305,99.0803,99.4804,1391524
2019-01-14,BETA,78.3518,80.6175,77.4723,79.9248,834334
2019-01-14,GAMMA,55.467,57.1818,55.3641,56.2159,1155952
2019-01-15,ALPHA,99.6938,100.1134,99.4188,99.9031,984788
2019-01-15,BETA,80.0921,81.5561,79.0364,81.3076,936623
2019-01-15,GAMMA,56.5562,56.6235,55.9161,55.9864,1088204
2019-01-16,ALPHA,100.0677,100.1778,98.4048,99.4266,954212
2019-01-16,BETA,81.2533,81.3395,79.4791,80.2643,1343723
2019-01-16,GAMMA,56.0443,56.0601,55.5709,55.6106,1024656
2019-01-17,ALPHA,99.6787,100.3023,98.0459,98.2645,1450745
2019-01-17,BETA,79.862,81.9105,79.4116,81.7118,1519629
2019-01-17,GAMMA,55.7713,57.3692,55.5111,56.6852,1270532
2019-01-18,ALPHA,98.234,100.4707,98.004,99.8456,1485868
2019-01-18,BETA,81.5612,83.0953,80.6911,82.5959,989075
2019-01-18,GAMMA,56.9963,57.0295,56.2618,56.6415,970340
2019-01-21,ALPHA,99.8566,99.9679,98.1634,98.2999,1417089
2019-01-21,BETA,83.1752,83.223,81.8781,82.1764,1474794
2019-01-21,GAMMA,57.0571,57.6585,53.9522,54.4793,908395
2019-01-22,ALPHA,99.0529,99.3231,98.7018,98.9672,1031460
2019-01-22,BETA,82.6603,82.7128,81.5715,81.9633,1986249
2019-01-22,GAMMA,54.2901,54.469,53.5801,53.7028,1286089
2019-01-23,ALPHA,99.2782,99.5258,98.0712,98.1015,1424790
2019-01-23,BETA,82.0227,83.5639,81.3797,83.5127,1020802
2019-01-23,GAMMA,53.8235,54.4564,53.2067,54.2454,1007600
2019-01-24,ALPHA,98.0064,98.8004,96.8963,97.36,1029679
2019-01-24,BETA,83.8383,84.4455,81.8212,81.9744,1046226
2019-01-24,GAMMA,53.7042,55.3551,53.2214,54.8116,1245549
2019-01-25,ALPHA,97.7435,97.8522,97.6311,97.8442,1250390
2019-01-25,BETA,81.9726,82.7317,81.7287,82.4677,1332549
2019-01-25,GAMMA,54.7194,55.6816,54.4566,55.169,1261815
2019-01-28,ALPHA,98.1327,99.1701,97.6962,99.0508,1471015
2019-01-28,BETA,82.1077,83.622,81.1348,83.2672,1235606
2019-01-28,GAMMA,55.4971,55.8304,53.451,53.6871,1108843
2019-01-29,ALPHA,99.4518,99.5187,98.5971,99.5056,1092337
2019-01-29,BETA,83.4051,83.4976,82.8228,82.9394,631660
2019-01-29,GAMMA,54.1645,54.7708,53.9319,54.0013,902255
2019-01-30,ALPHA,99.5434,101.5192,99.0492,101.2891,1154690
2019-01-30,BETA,82.6434,82.8174,82.2192,82.3075,1054005
2019-01-30,GAMMA,54.0882,54.4088,52.7585,53.2185,972773
2019-01-31,ALPHA,101.562,103.2274,100.5003,102.9155,1413289
2019-01-31,BETA,82.0417,82.1144,81.4776,81.6757,1414724
2019-01-31,GAMMA,53.1816,55.3081,52.9729,55.0345,781451
2019-02-01,ALPHA,102.7287,103.8718,102.7277,103.5859,1717462
2019-02-01,BETA,81.2844,81.896,80.9565,81.4843,859338
2019-02-01,GAMMA,55.2837,55.2852,54.8795,55.0415,485333
2019-02-04,ALPHA,103.4397,104.0595,102.224,102.4251,1090724
2019-02-04,BETA,80.6417,81.4453,80.6382,81.0435,983618
2019-02-04,GAMMA,55.0278,56.4958,54.3538,56.0191,863425
2019-02-05,ALPHA,102.0055,102.6755,101.4626,102.5762,1465559
2019-02-05,BETA,81.2438,81.3155,80.6727,80.7545,1186580
2019-02-05,GAMMA,55.6564,56.6032,55.5246,56.3206,1426490
2019-02-06,ALPHA,103.3491,103.4768,102.0041,102.6208,809020
2019-02-06,BETA,80.1198,80.5631,79.0298,79.307,1547093
2019-02-06,GAMMA,56.0927,56.5579,55.5002,55.6217,1642520
2019-02-07,ALPHA,102.7302,103.5193,101.7657,102.524,1497185
2019-02-07,BETA,79.1257,80.9298,78.8491,80.6019,1702964
2019-02-07,GAMMA,55.0809,55.2942,52.9236,53.2815,743349
2019-02-08,ALPHA,103.0428,103.5555,103.0192,103.2319,1043505
2019-02-08,BETA,80.4975,80.9949,80.04,80.5954,1002721
2019-02-08,GAMMA,53.0408,55.1428,52.7025,54.6608,471307
2019-02-11,ALPHA,103.2985,103.3856,100.9504,101.8558,1016692
2019-02-11,BETA,80.5631,81.1889,79.5628,79.8824,1230824
2019-02-11,GAMMA,55.0699,55.4424,54.5704,55.174,927618
2019-02-12,ALPHA,101.3284,102.4334,101.212,102.2555,1447188
2019-02-12,BETA,79.508,79.6849,78.1949,78.6821,1123101
2019-02-12,GAMMA,55.3182,55.5333,53.5848,53.8131,987712
2019-02-13,ALPHA,102.2406,104.4361,102.0346,103.9252,1355096
2019-02-13,BETA,78.7017,80.3879,78.6386,79.5567,709527
2019-02-13,GAMMA,53.8966,53.9159,53.4322,53.4361,1033634
2019-02-14,ALPHA,103.685,105.0501,103.6449,104.5288,1409947
2019-02-14,BETA,79.6202,80.2938,78.9332,79.9512,1148589
2019-02-14,GAMMA,53.4334,55.0142,53.3428,54.7755,882664
2019-02-15,ALPHA,104.739,106.1693,103.7469,106.0356,1273110
2019-02-15,BETA,80.0166,81.733,79.6734,81.2128,1336628
2019-02-15,GAMMA,55.2477,55.2788,54.7894,55.2351,790685
2019-02-18,ALPHA,106.0748,106.7669,105.6776,105.7328,1355813
2019-02-18,BETA,81.7586,82.2327,80.6502,81.2066,1260879
2019-02-18,GAMMA,54.8916,55.4686,54.8602,54.9727,1000844
2019-02-19,ALPHA,105.5539,107.9799,105.4148,107.1658,1268920
2019-02-19,BETA,80.9653,81.7945,80.2524,81.2698,1286465
2019-02-19,GAMMA,54.9908,55.6267,54.5026,55.4407,1502290
2019-02-20,ALPHA,107.4739,107.7612,106.0257,106.4919,1355465
2019-02-20,BETA,81.6664,81.8705,79.9171,80.1288,1545296
2019-02-20,GAMMA,55.1805,55.5672,54.6791,55.1957,1072520
2019-02-21,ALPHA,105.9707,106.5167,105.9496,106.3048,976415
2019-02-21,BETA,80.4374,81.2398,79.7936,80.0186,1502294
2019-02-21,GAMMA,55.6768,56.388,54.6975,54.7335,1051827
2019-02-22,ALPHA,106.476,107.2306,106.2884,106.9588,1504519
2019-02-22,BETA,80.5777,80.6129,79.4576,79.8581,1627707
2019-02-22,GAMMA,54.5832,55.1505,54.2919,55.0998,1438806
2019-02-25,ALPHA,107.0932,107.0945,105.1046,106.1631,641309
2019-02-25,BETA,79.7815,80.0598,79.4183,80.0157,1082255
2019-02-25,GAMMA,54.7257,56.8864,54.2442,56.014,1298433
2019-02-26,ALPHA,106.0558,107.0647,105.1684,107.0175,1197428
2019-02-26,BETA,79.772,81.0223,79.4076,80.9415,1208509
2019-02-26,GAMMA,55.9558,57.2361,55.6513,56.7095,1011846
2019-02-27,ALPHA,106.8614,109.8675,106.6306,109.6983,992793
2019-02-27,BETA,81.1234,81.7324,80.768,81.5668,1287913
2019-02-27,GAMMA,56.0715,58.6996,55.9601,57.827,1461928
2019-02-28,ALPHA,109.596,109.9154,108.5809,109.8176,1800740
2019-02-28,BETA,81.7908,83.9206,81.7299,82.6198,1032630
2019-02-28,GAMMA,57.8866,58.0303,57.044,57.0739,1532258
2019-03-01,ALPHA,110.4492,110.9386,109.5187,109.6598,2149482
2019-03-01,BETA,82.9771,83.4308,82.2197,82.2999,698504
2019-03-01,GAMMA,57.1006,58.3717,57.0869,57.9943,1160240
2019-03-04,ALPHA,109.1187,109.3811,108.4286,108.6545,1408002
2019-03-04,BETA,82.5505,83.0381,81.7412,82.0321,1518826
2019-03-04,GAMMA,57.5601,57.681,56.286,56.6517,1045592
2019-03-05,ALPHA,108.5623,111.0174,108.3545,110.2402,1572066
2019-03-05,BETA,82.5989,83.4488,80.4265,81.2012,853249
2019-03-05,GAMMA,57.0037,57.4486,56.971,57.3415,1081055
2019-03-06,ALPHA,109.5283,110.8661,108.8545,110.849,1837964
2019-03-06,BETA,81.4643,82.717,81.38,82.0848,888282
2019-03-06,GAMMA,57.3478,58.2163,56.7571,57.9712,1372798
2019-03-07,ALPHA,110.9621,112.1871,110.5504,111.5782,1214074
2019-03-07,BETA,82.6077,82.6095,80.4428,81.2583,1146185
2019-03-07,GAMMA,58.2511,58.442,56.1687,56.3359,1154389
2019-03-08,ALPHA,111.7918,112.4766,111.2252,112.2404,966665
2019-03-08,BETA,81.2574,82.397,81.0251,82.0977,1206753
2019-03-08,GAMMA,56.1477,57.3964,55.5615,57.2959,1030924
2019-03-11,ALPHA,112.4787,113.6231,110.6942,110.8568,1334963
2019-03-11,BETA,82.1144,82.4592,80.6135,80.8957,1532806
2019-03-11,GAMMA,56.8305,57.3675,55.9144,56.2128,1111491
2019-03-12,ALPHA,110.8829,113.2539,110.6882,112.7571,976678
2019-03-12,BETA,81.1735,83.3962,81.1393,83.2086,936813
2019-03-12,GAMMA,56.2886,56.4282,54.3202,54.3528,768014
2019-03-13,ALPHA,113.3254,113.8212,111.7256,111.9657,2199080
2019-03-13,BETA,83.0791,85.4384,82.2123,85.0978,1517717
